VIN (1-10),County,City,Model Year,Make,Model,Electric Vehicle Type,Electric Range,Vehicle Location
5YJ3E1EB5L,Snohomish,Sultan,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),322,POINT (-121.81688 47.8623)
ZACPDFCW8R,Kitsap,Bremerton,2024,DODGE,HORNET,Plug-in Hybrid Electric Vehicle (PHEV),32,POINT (-122.6563 47.56739)
YV4ER3XL3R,Kitsap,Kingston,2024,VOLVO,XC40,Battery Electric Vehicle (BEV),0,POINT (-122.4977 47.79802)
5YJYGDEE9L,Snohomish,Monroe,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291,POINT (-121.98087 47.8526)
1N4AZ1CP1J,King,Renton,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),151,POINT (-122.1805 47.50006)
JA3215H48G,Snohomish,Mukilteo,2016,MITSUBISHI,I-MIEV,Battery Electric Vehicle (BEV),62,POINT (-122.29196 47.89908)
1C4JJXN63P,Grant,Moses Lake,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),21,POINT (-119.2771 47.13196)
5YJXCBE21J,Kittitas,Cle Elum,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),238,POINT (-120.93943 47.195)
WA1E2AFY3M,Snohomish,Everett,2021,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),18,POINT (-122.18637 47.89251)
1G1FW6S07H,Walla Walla,Walla Walla,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),238,POINT (-118.34261 46.07068)
JTDKARFP9L,Grant,Quincy,2020,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),25,POINT (-119.85338 47.23748)
5YJ3E1EB1J,Snohomish,Everett,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215,POINT (-122.27557 47.88936)
5UXTA6C00N,Walla Walla,Walla Walla,2022,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),30,POINT (-118.34261 46.07068)
KNDRMDLH3N,Snohomish,Lynnwood,2022,KIA,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV),32,POINT (-122.27734 47.83785)
1G1FX6S08H,Island,Langley,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),238,POINT (-122.40618 48.0399)
5YJSA1E26G,Kitsap,Poulsbo,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),210,POINT (-122.64681 47.73689)
KNDCE3LG4L,Snohomish,Everett,2020,KIA,NIRO,Battery Electric Vehicle (BEV),239,POINT (-122.18637 47.89251)
5UXTS1C06M,King,Kirkland,2021,BMW,X3,Plug-in Hybrid Electric Vehicle (PHEV),17,POINT (-122.22901 47.72201)
5YJ3E1EB3J,Island,Greenbank,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215,POINT (-122.56817 48.08827)
5YJ3E1EBXJ,Kitsap,Bremerton,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215,POINT (-122.62749 47.565)
5YJ3E1EB0K,Snohomish,Lynnwood,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220,POINT (-122.27734 47.83785)
5YJSA1S28F,Skagit,Mount Vernon,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),208,POINT (-122.33891 48.41644)
1C4JJXP64N,Snohomish,Lynnwood,2022,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),21,POINT (-122.27734 47.83785)
1N4AZ1CP4K,Snohomish,Bothell,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),150,POINT (-122.21061 47.83448)
1N4BZ1CP8K,Snohomish,Bothell,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),150,POINT (-122.18384 47.8031)
1C4RJXN67R,Whitman,Pullman,2024,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),21,POINT (-117.18147 46.73015)
5YJ3E1EA3J,Yakima,Yakima,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215,POINT (-120.52401 46.59739)
5UXTA6C04M,Snohomish,Arlington,2021,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),30,POINT (-122.1264 48.19471)
WBA8E1C54J,Kitsap,Poulsbo,2018,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),14,POINT (-122.64681 47.73689)
1N4BZ1CP1K,Snohomish,Bothell,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),150,POINT (-122.21061 47.83448)
JN1AZ0CP1C,Thurston,Yelm,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),73,POINT (-122.60735 46.94239)
5YJSA1H17F,Stevens,Addy,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),208,POINT (-117.8379 48.35609)
1N4AZ1CP3J,Island,Oak Harbor,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),151,POINT (-122.64682 48.29077)
YV4BR0CK6M,Thurston,Olympia,2021,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),18,POINT (-122.89166 47.03956)
5YJSA1E10G,Snohomish,Lynnwood,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),210,POINT (-122.27734 47.83785)
1N4AZ1CP7J,Snohomish,Edmonds,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),151,POINT (-122.31768 47.87166)
1G1FW6S03J,Snohomish,Bothell,2018,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),238,POINT (-122.21061 47.83448)
1C4RJXP69R,Yakima,Wapato,2024,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),21,POINT (-120.42083 46.44779)
KNDCC3LD6J,Island,Clinton,2018,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),26,POINT (-122.35803 47.9796)
5UXTA6C08P,Snohomish,Bothell,2023,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),30,POINT (-122.18384 47.8031)
5YJ3E1EA8L,Island,Greenbank,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),266,POINT (-122.56817 48.08827)
5YJXCBE43L,King,Redmond,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),293,POINT (-122.03287 47.68555)
KNDCE3LG1K,Snohomish,Bothell,2019,KIA,NIRO,Battery Electric Vehicle (BEV),239,POINT (-122.18384 47.8031)
5YJ3E1EB3K,Snohomish,Lynnwood,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220,POINT (-122.27734 47.83785)
KNDCC3LD4K,Stevens,Kettle Falls,2019,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),26,POINT (-118.06211 48.61053)
1N4AZ0CP0F,Snohomish,Mukilteo,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),84,POINT (-122.29196 47.89908)
WVWPP7AU4F,Walla Walla,Walla Walla,2015,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),83,POINT (-118.34261 46.07068)
KNDCE3LG1K,Skagit,Anacortes,2019,KIA,NIRO,Battery Electric Vehicle (BEV),239,POINT (-122.61214 48.51748)
1G1RB6S57J,Island,Oak Harbor,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),53,POINT (-122.64682 48.29077)
5YJXCBE21G,Skagit,Mount Vernon,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),200,POINT (-122.32295 48.4152)
WBAJB1C5XJ,Snohomish,Bothell,2018,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),14,POINT (-122.18384 47.8031)
1N4AZ0CP2D,Island,Coupeville,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),75,POINT (-122.68558 48.21857)
5YJ3E1EB5L,Walla Walla,Walla Walla,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),322,POINT (-118.34261 46.07068)
5YJXCBE2XG,Skagit,Mount Vernon,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),200,POINT (-122.33891 48.41644)
5YJYGDEE6L,King,Issaquah,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291,POINT (-122.00292 47.54748)
1N4AZ0CP4G,Island,Freeland,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),84,POINT (-122.52664 48.00956)
1C4RJXN69R,Whitman,Palouse,2024,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),21,POINT (-117.0768 46.91008)
1N4BZ0CP7H,Spokane,Spokane,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),107,POINT (-117.3973 47.67573)
5YJ3E1EB9K,Snohomish,Arlington,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220,POINT (-122.1264 48.19471)
1G1FZ6S07K,Snohomish,Granite Falls,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),238,POINT (-121.96931 48.08157)
1G1RB6S53J,Whitman,Pullman,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),53,POINT (-117.18147 46.73015)
JM3KKEHA3R,Snohomish,Snohomish,2024,MAZDA,CX-90,Plug-in Hybrid Electric Vehicle (PHEV),26,POINT (-122.1389 47.87115)
1C4RJXU62R,Yakima,Yakima,2024,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),21,POINT (-120.4778 46.55351)
WVWKP7AU0G,Kitsap,Seabeck,2016,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),83,POINT (-122.81585 47.64509)
KNDCC3LG2K,Snohomish,Mill Creek,2019,KIA,NIRO,Battery Electric Vehicle (BEV),239,POINT (-122.21061 47.83448)
1N4AZ0CP7D,Snohomish,Bothell,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),75,POINT (-122.21061 47.83448)
5YJ3E1EA7J,Snohomish,Lake Stevens,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215,POINT (-122.06402 48.01497)
3C3CFFGE6G,Yakima,Naches,2016,FIAT,500,Battery Electric Vehicle (BEV),84,POINT (-120.69972 46.7309)
WBAJA9C50J,Spokane,Spokane,2018,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),16,POINT (-117.39322 47.63374)
1N4AZ0CP0G,Skagit,Bow,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),84,POINT (-122.397 48.56045)
5YJ3E1EB9K,Yakima,Selah,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220,POINT (-120.53145 46.65405)
5YJSA1H28F,Chelan,Wenatchee,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),208,POINT (-120.30522 47.41494)
5YJ3E1EA3K,Skagit,Mount Vernon,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220,POINT (-122.33891 48.41644)
JN1AZ0CP9C,Yakima,Yakima,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),73,POINT (-120.50729 46.60464)
1G1RC6S54K,Yakima,Yakima,2019,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),53,POINT (-120.60272 46.59656)
JTJCJMGA4R,Yakima,Yakima,2024,LEXUS,RX,Plug-in Hybrid Electric Vehicle (PHEV),37,POINT (-120.52401 46.59739)
WVWKP7AU6G,Yakima,Tieton,2016,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),83,POINT (-120.75541 46.70257)
5YJ3E1EA2J,Snohomish,Snohomish,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215,POINT (-122.1389 47.87115)
SADHD2S17L,Skagit,Sedro-Woolley,2020,JAGUAR,I-PACE,Battery Electric Vehicle (BEV),234,POINT (-122.23857 48.50858)
5YJ3E1EB3K,Snohomish,Marysville,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220,POINT (-122.1769 48.06114)
1G1RD6S5XH,Whitman,Pullman,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),53,POINT (-117.18147 46.73015)
KL8CK6S06F,Snohomish,Lynnwood,2015,CHEVROLET,SPARK,Battery Electric Vehicle (BEV),82,POINT (-122.27981 47.85727)
1C4JJXR64M,Island,Langley,2021,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),21,POINT (-122.40618 48.0399)
5UXTA6C05N,Snohomish,Lynnwood,2022,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),30,POINT (-122.29245 47.82557)
5YJXCDE26L,Walla Walla,Walla Walla,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),289,POINT (-118.34261 46.07068)
JN1AZ0CP4B,Okanogan,Mazama,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),73,POINT (-120.40814 48.5941)
7FCEHEB24R,Skagit,Burlington,2024,RIVIAN,EDV,Battery Electric Vehicle (BEV),0,POINT (-122.33029 48.46846)
JM3KKEHA8S,Thurston,Lacey,2025,MAZDA,CX-90,Plug-in Hybrid Electric Vehicle (PHEV),26,POINT (-122.81754 46.98876)
JHMZC5F35J,Snohomish,Everett,2018,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),47,POINT (-122.23019 47.94949)
5YJXCDE2XJ,Snohomish,Lake Stevens,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),238,POINT (-122.06402 48.01497)
1G1FZ6S04L,Thurston,Olympia,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),259,POINT (-122.82324 47.04437)
1N4AZ0CP9D,Island,Greenbank,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),75,POINT (-122.56817 48.08827)
5YJ3E1EB4J,Snohomish,Lynnwood,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215,POINT (-122.27734 47.83785)
5YJSA1E20J,Snohomish,Snohomish,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),249,POINT (-122.1389 47.87115)
1N4AZ1CP7J,Chelan,Peshastin,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),151,POINT (-120.60364 47.56805)
KNDCR3L15R,Thurston,Yelm,2024,KIA,NIRO,Battery Electric Vehicle (BEV),0,POINT (-122.60735 46.94239)
5UX43EU09S,Walla Walla,Walla Walla Co,2025,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),40,POINT (-118.34261 46.07068)
KNDPZDDH2S,Kitsap,Bremerton,2025,KIA,SPORTAGE,Plug-in Hybrid Electric Vehicle (PHEV),34,POINT (-122.60915 47.62631)
1N4BZ1CP8L,Snohomish,Edmonds,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),215,POINT (-122.31768 47.87166)
WA1AAAGE4M,Snohomish,Lynnwood,2021,AUDI,E-TRON,Battery Electric Vehicle (BEV),222,POINT (-122.29245 47.82557)
WBY7Z2C59J,King,Seattle,2018,BMW,I3,Battery Electric Vehicle (BEV),114,POINT (-122.31676 47.68156)
JN1AZ0CP5B,Kitsap,Bremerton,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),73,POINT (-122.61136 47.5752)
7SAYGDEE1N,Thurston,Olympia,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0,POINT (-122.75103 47.08149)
5YJ3E1EB4K,King,Bothell,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220,POINT (-122.20563 47.76144)
5YJXCDE2XH,Thurston,Lacey,2017,TESLA,MODEL X,Battery Electric Vehicle (BEV),200,POINT (-122.81754 46.98876)
JN1AZ0CP8B,Snohomish,Everett,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),73,POINT (-122.18637 47.89251)
WBY1Z4C54E,Snohomish,Edmonds,2014,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),72,POINT (-122.31768 47.87166)
1FADP3R40H,Whitman,Pullman,2017,FORD,FOCUS,Battery Electric Vehicle (BEV),100,POINT (-117.18147 46.73015)
7SAYGDEE3N,Yakima,Selah,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0,POINT (-120.53145 46.65405)
WAUSPBFF7J,Thurston,Lacey,2018,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),16,POINT (-122.75103 47.08149)
5YJ3E1EA1J,Snohomish,Bothell,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215,POINT (-122.18384 47.8031)
WMEEJ9AA9G,Snohomish,Edmonds,2016,SMART,FORTWO,Battery Electric Vehicle (BEV),68,POINT (-122.31768 47.87166)
5YJ3E1EB7K,King,Redmond,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220,POINT (-122.03287 47.68555)
5YJ3E1EB3K,Snohomish,Granite Falls,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220,POINT (-121.96931 48.08157)
5UX43EU01S,Thurston,Olympia,2025,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),40,POINT (-122.87741 47.05997)
5YJ3E1EA1K,Thurston,Olympia,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220,POINT (-122.87741 47.05997)
3FA6P0SU6F,Snohomish,Mill Creek,2015,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),19,POINT (-122.21061 47.83448)
1N4AZ0CPXE,King,Seattle,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),84,POINT (-122.30253 47.72656)
JTMAB3FV2M,Jefferson,Port Townsend,2021,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),42,POINT (-122.77263 48.1212)
1C4RJYC65P,King,Seattle,2023,JEEP,GRAND CHEROKEE,Plug-in Hybrid Electric Vehicle (PHEV),25,POINT (-122.36178 47.49408)
3C3CFFGE8F,Thurston,Olympia,2015,FIAT,500,Battery Electric Vehicle (BEV),87,POINT (-122.92333 47.03779)
YV4BR0DL2M,King,Auburn,2021,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),18,POINT (-122.1821 47.3199)
WVWKR7AU0H,King,Seattle,2017,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),125,POINT (-122.35436 47.67596)
7SAYGAEE2P,King,Sammamish,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0,POINT (-122.03539 47.61344)
YV4ED3UM8P,King,Bellevue,2023,VOLVO,XC40,Battery Electric Vehicle (BEV),0,POINT (-122.1621 47.64441)
7SAYGDEDXP,King,Seattle,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0,POINT (-122.30253 47.72656)
WA1E2AFYXR,King,Seattle,2024,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),23,POINT (-122.36498 47.72238)
WB523CF02P,King,Bellevue,2023,BMW,IX,Battery Electric Vehicle (BEV),0,POINT (-122.12096 47.55584)
KNDCD3LDXN,Thurston,Olympia,2022,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),26,POINT (-122.92333 47.03779)
1N4BZ0CP0H,Kitsap,Bainbridge Island,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),107,POINT (-122.521 47.62728)
5YJXCBE28H,King,Issaquah,2017,TESLA,MODEL X,Battery Electric Vehicle (BEV),200,POINT (-122.00292 47.54748)
7SAYGDEE3R,King,Renton,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0,POINT (-122.15734 47.48718)
1N4AZ1CP6J,Thurston,Rochester,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),151,POINT (-123.08743 46.82175)
KNDC3DLC7P,King,Shoreline,2023,KIA,EV6,Battery Electric Vehicle (BEV),0,POINT (-122.3175 47.75781)
ZFAFFAA40R,King,Seattle,2024,FIAT,500E,Battery Electric Vehicle (BEV),0,POINT (-122.31676 47.68156)
7SAXCBE51R,King,Redmond,2024,TESLA,MODEL X,Battery Electric Vehicle (BEV),0,POINT (-122.13158 47.67858)
5YJSA1DP2D,King,Seattle,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),208,POINT (-122.35022 47.63824)
5YJ3E1ET2R,King,Bellevue,2024,TESLA,MODEL 3,Battery Electric Vehicle (BEV),0,POINT (-122.1872 47.61001)
WBY33AW08R,King,Kirkland,2024,BMW,I4,Battery Electric Vehicle (BEV),0,POINT (-122.22901 47.72201)
1N4BZ0CP4H,Clark,Vancouver,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),107,POINT (-122.70303 45.70954)
3GNKDBRJ4R,King,Enumclaw,2024,CHEVROLET,BLAZER EV,Battery Electric Vehicle (BEV),0,POINT (-121.99136 47.20433)
1G1FZ6S07L,Yakima,Selah,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),259,POINT (-120.53145 46.65405)
5YJ3E1EB2L,Yakima,Yakima,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),322,POINT (-120.52401 46.59739)
7SAYGDEE4P,King,Seattle,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0,POINT (-122.23825 47.49461)
7SAYGDEF9P,King,Redmond,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0,POINT (-122.13158 47.67858)
WA1M2BFZ8P,King,Seattle,2023,AUDI,Q4,Battery Electric Vehicle (BEV),0,POINT (-122.30207 47.64085)
3GNKDBRJXR,Kitsap,Bainbridge Island,2024,CHEVROLET,BLAZER EV,Battery Electric Vehicle (BEV),0,POINT (-122.521 47.62728)
5YJ3E1EB0J,King,Lake Forest Park,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215,POINT (-122.3175 47.75781)
WBY73AW05R,King,Redmond,2024,BMW,I4,Battery Electric Vehicle (BEV),0,POINT (-122.13158 47.67858)
5YJ3E1EA2P,King,Bellevue,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),0,POINT (-122.11867 47.63131)
1N4AZ1BV3P,King,Redmond,2023,NISSAN,LEAF,Battery Electric Vehicle (BEV),0,POINT (-122.13158 47.67858)
5YJ3E1EB6K,King,Bellevue,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220,POINT (-122.11867 47.63131)
7SAYGDEE0P,King,Seattle,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0,POINT (-122.36498 47.72238)
1G1FY6S07P,King,Burien,2023,CHEVROLET,BOLT EUV,Battery Electric Vehicle (BEV),0,POINT (-122.36178 47.49408)
JTMAB3FV3R,King,Seattle,2024,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),42,POINT (-122.36498 47.72238)
WAUCJBFW6N,King,Kirkland,2022,AUDI,E-TRON GT,Battery Electric Vehicle (BEV),0,POINT (-122.2066 47.67887)
5YJ3E1EA2R,King,Bellevue,2024,TESLA,MODEL 3,Battery Electric Vehicle (BEV),0,POINT (-122.1872 47.61001)
5YJ3E1EA6R,King,Auburn,2024,TESLA,MODEL 3,Battery Electric Vehicle (BEV),0,POINT (-122.1821 47.3199)
JTDACACU5R,Yakima,Zillah,2024,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),39,POINT (-120.26226 46.40199)
WA1VCBGE7N,King,Sammamish,2022,AUDI,E-TRON,Battery Electric Vehicle (BEV),0,POINT (-122.02054 47.60326)
YV4ED3UR6M,King,Shoreline,2021,VOLVO,XC40,Battery Electric Vehicle (BEV),0,POINT (-122.3175 47.75781)
JTMFB3FV8M,Yakima,Yakima,2021,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),42,POINT (-120.52401 46.59739)
1C4JJXP6XM,Jefferson,Quilcene,2021,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),25,POINT (-122.8775 47.82642)
1N4CZ1CVXP,Jefferson,Port Townsend,2023,NISSAN,LEAF,Battery Electric Vehicle (BEV),0,POINT (-122.77263 48.1212)
5YJYGDEE1M,King,Bellevue,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0,POINT (-122.1872 47.61001)
7SAYGAEE7P,King,Bellevue,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0,POINT (-122.12096 47.55584)
7SAYGDEF6S,Clark,Vancouver,2025,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0,POINT (-122.64695 45.65675)
JTJAAAAB8P,King,Kent,2023,LEXUS,RZ,Battery Electric Vehicle (BEV),0,POINT (-122.19975 47.37483)
1FADP5FU0H,Clark,Vancouver,2017,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),20,POINT (-122.48723 45.63701)
5YJ3E1EB3P,King,Renton,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),0,POINT (-122.197 47.43876)
KNDCC3LG5L,King,Kirkland,2020,KIA,NIRO,Battery Electric Vehicle (BEV),239,POINT (-122.2066 47.67887)
1G1FY6S0XP,Clark,Vancouver,2023,CHEVROLET,BOLT EUV,Battery Electric Vehicle (BEV),0,POINT (-122.62731 45.71668)
5LMYJ8XY6P,King,Issaquah,2023,LINCOLN,AVIATOR,Plug-in Hybrid Electric Vehicle (PHEV),21,POINT (-122.03439 47.5301)
1FTVW3L7XR,King,Auburn,2024,FORD,F-150,Battery Electric Vehicle (BEV),0,POINT (-122.1821 47.3199)
2C4RC1L76P,Snohomish,Everett,2023,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),32,POINT (-122.18637 47.89251)
5YJ3E1EBXP,King,Redmond,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),0,POINT (-122.13158 47.67858)
7SAYGDEF1N,King,Burien,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0,POINT (-122.36178 47.49408)
7SAYGDEE1P,King,Seattle,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0,POINT (-122.35436 47.67596)
5YJ3E1EB8K,King,Sammamish,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220,POINT (-122.02054 47.60326)
5YJ3E1EA6L,King,Seattle,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),266,POINT (-122.41067 47.57894)
7SAYGDEE8P,King,Bellevue,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0,POINT (-122.1621 47.64441)
7SAYGDEFXR,Clark,Vancouver,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0,POINT (-122.55149 45.69345)
1G1RA6S56J,King,Federal Way,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),53,POINT (-122.3303 47.30151)
3FMTK3S54P,Kitsap,Seabeck,2023,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),0,POINT (-122.81585 47.64509)
7SAYGAEE0P,King,Bellevue,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0,POINT (-122.12056 47.61334)
JN1AZ0CP6B,Clark,Vancouver,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),73,POINT (-122.70303 45.70954)
7SAYGDEE6R,King,Bellevue,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0,POINT (-122.12096 47.55584)
7SAYGDEE5R,King,Seattle,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0,POINT (-122.31307 47.66127)
1N4BZ1DP7L,King,Redmond,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),215,POINT (-122.13158 47.67858)
7SAXCBE66N,Clark,Vancouver,2022,TESLA,MODEL X,Battery Electric Vehicle (BEV),0,POINT (-122.70303 45.70954)
2C4RC1S71M,King,Bellevue,2021,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),32,POINT (-122.12096 47.55584)
JTMFB3FV5S,King,Kenmore,2025,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),42,POINT (-122.24369 47.75892)
5YJ3E1EA9P,King,Bothell,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),0,POINT (-122.20563 47.76144)
JTMEB3FVXR,Snohomish,Lynnwood,2024,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),42,POINT (-122.27981 47.85727)
